snr_db,window,stat,cond,n_seeds,auc_mean,ci_lo,ci_hi,seed0,seed1,seed2,seed3,seed4
5.0,1,ct,V150,5,0.5713514539930555,0.5477078250883451,0.5949950828977659,0.5594070095486111,0.5908143446180556,0.5587863498263889,0.5544032118055555,0.5933463541666667
5.0,1,ct,V250,5,0.6650591362847222,0.6398227720069237,0.6902955005625208,0.658115234375,0.6797960069444444,0.6400797526041667,0.6561121961805556,0.6911924913194445
5.0,1,ct,V400,5,0.7667154947916666,0.7441272418043757,0.7893037477789574,0.7821907552083334,0.7546592881944445,0.7708148871527778,0.7418153211805556,0.7840972222222222
5.0,1,ymag,DS200,5,0.4921305338541667,0.4861792052779373,0.49808186243039615,0.4945578342013889,0.4992274305555556,0.4872829861111111,0.48901746961805553,0.49056694878472223
5.0,1,ymag,DS300,5,0.4815810546875,0.4688049703277663,0.4943571390472337,0.49334743923611113,0.47129774305555555,0.48013509114583336,0.4721495225694444,0.49097547743055553
5.0,1,ymag,DS600,5,0.4743460286458333,0.4651204099204713,0.4835716473711953,0.47939019097222224,0.4724782986111111,0.46249077690972223,0.4813009982638889,0.4760698784722222
5.0,1,ymag,DS1000,5,0.46394227430555557,0.44702755339119293,0.4808569952199182,0.46710611979166666,0.4413254123263889,0.46321343315972224,0.47691297743055555,0.47115342881944444
5.0,1,ymag,CDLA,5,0.5051561414930555,0.48883522349338143,0.5214770594927297,0.4936442057291667,0.4954703776041667,0.4979427083333333,0.5214984809027777,0.5172249348958333
5.0,1,ymag,CDLB,5,0.5056865234375001,0.48589552957658466,0.5254775172984155,0.5093766276041667,0.4946793619791667,0.49356825086805556,0.5319227430555555,0.49888563368055555
5.0,1,ymag,CDLD,5,0.7152513020833333,0.6696609060890508,0.7608416980776158,0.7202327473958333,0.6666872829861111,0.6936876085069444,0.7623556857638889,0.7332931857638889
5.0,1,ymag,CDLE,5,0.7251750217013889,0.6776057506830202,0.7727442927197576,0.7362787543402778,0.6756814236111112,0.7006575520833334,0.7755788845486111,0.7376784939236111
5.0,1,ymag,S2,5,0.5152568359374999,0.49289476835509477,0.537618903519905,0.5265435112847222,0.4875998263888889,0.5168381076388889,0.5347601996527778,0.5105425347222222
5.0,1,ymag,V30,5,0.5120249565972224,0.49653331020184,0.5275166029926047,0.5023198784722223,0.5238270399305556,0.4985226779513889,0.5261485460069445,0.509306640625
5.0,1,ymag,V90,5,0.49925868055555556,0.48766898809219583,0.5108483730189153,0.5035405815972223,0.5085004340277778,0.48450032552083333,0.49625813802083335,0.5034939236111111
5.0,1,ymag,V150,5,0.5012242838541667,0.48869354479403443,0.513755022914299,0.5045421006944445,0.5128982204861111,0.48612684461805555,0.5052870008680556,0.49726725260416665
5.0,1,ymag,V250,5,0.48829155815972225,0.47820881143848,0.4983743048809645,0.5004606119791667,0.47877061631944445,0.488603515625,0.4836062282986111,0.4900168185763889
5.0,1,ymag,V400,5,0.49277853732638893,0.4879870510349898,0.49757002361778807,0.4954806857638889,0.4916753472222222,0.48727647569444443,0.4921652560763889,0.497294921875
5.0,8,resid,DS200,5,0.9918611111111112,0.9841585548528553,0.9995636673693671,0.9823611111111111,0.9889583333333334,0.9966666666666667,0.994375,0.9969444444444444
5.0,8,resid,DS300,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5.0,8,resid,DS600,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5.0,8,resid,DS1000,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5.0,8,resid,CDLA,5,0.16873611111111111,0.06064756413558549,0.27682465808663675,0.09604166666666666,0.30243055555555554,0.11625,0.21118055555555557,0.11777777777777777
5.0,8,resid,CDLB,5,0.965625,0.9486830507946894,0.9825669492053105,0.95875,0.9734027777777777,0.9805555555555555,0.9456944444444444,0.9697222222222223
5.0,8,resid,CDLD,5,0.5693888888888888,0.1577793305308725,0.9809984472469051,0.42138888888888887,1.0,0.17,0.44625,0.8093055555555555
5.0,8,resid,CDLE,5,0.6995,0.3894749828180907,1.0095250171819092,0.5748611111111112,1.0,0.36583333333333334,0.6790277777777778,0.8777777777777778
5.0,8,resid,S2,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5.0,8,resid,V30,5,0.5068055555555555,0.4582039961167292,0.5554071149943819,0.5255555555555556,0.4895138888888889,0.4552083333333333,0.5597916666666667,0.5039583333333333
