cond,snr_db,receiver,mode,slot,rolling_bler,ci_lo,ci_hi,n_seeds
S2,3.0,AINR,gated,850,0.43600000000000005,-0.20352325808449812,1.0755232580844982,5
S2,3.0,AINR,gated,860,0.42800000000000005,-0.220666949128825,1.0766669491288252,5
S2,3.0,AINR,gated,870,0.42400000000000004,-0.2291199841940028,1.077119984194003,5
S2,3.0,AINR,gated,880,0.42000000000000004,-0.23773041083149038,1.0777304108314905,5
S2,3.0,AINR,gated,890,0.42000000000000004,-0.23773041083149038,1.0777304108314905,5
S2,3.0,AINR,gated,900,0.42400000000000004,-0.22982776894548917,1.0778277689454892,5
S2,3.0,AINR,gated,910,0.43600000000000005,-0.20544895728819157,1.0774489572881918,5
S2,3.0,AINR,gated,920,0.42800000000000005,-0.2213795874392409,1.077379587439241,5
S2,3.0,AINR,gated,930,0.42400000000000004,-0.22959192585844312,1.0775919258584432,5
S2,3.0,AINR,gated,940,0.42400000000000004,-0.22959192585844312,1.0775919258584432,5
S2,3.0,AINR,gated,950,0.41600000000000004,-0.24602934816764988,1.07802934816765,5
S2,3.0,AINR,gated,960,0.40800000000000003,-0.2633258246858552,1.0793258246858553,5
S2,3.0,AINR,gated,970,0.41200000000000003,-0.2551792388452868,1.079179238845287,5
S2,3.0,AINR,gated,980,0.41200000000000003,-0.2551792388452868,1.079179238845287,5
S2,3.0,AINR,gated,990,0.41200000000000003,-0.2551792388452868,1.079179238845287,5
S2,3.0,AINR,gated,1000,0.40800000000000003,-0.2633258246858552,1.0793258246858553,5
S2,3.0,AINR,trig,50,0.8800000000000001,0.677490730370236,1.0825092696297642,5
S2,3.0,AINR,trig,60,0.8240000000000001,0.5466888630371374,1.1013111369628628,5
S2,3.0,AINR,trig,70,0.72,0.34215856466142563,1.0978414353385744,5
S2,3.0,AINR,trig,80,0.6359999999999999,0.18269910028156294,1.0893008997184368,5
S2,3.0,AINR,trig,90,0.556,0.030848050393225135,1.081151949606775,5
S2,3.0,AINR,trig,100,0.532,-0.009684368869674165,1.0736843688696742,5
S2,3.0,AINR,trig,110,0.4800000000000001,-0.1136660341824538,1.073666034182454,5
S2,3.0,AINR,trig,120,0.4720000000000001,-0.12879090114282332,1.0727909011428234,5
S2,3.0,AINR,trig,130,0.4640000000000001,-0.14413655434150097,1.0721365543415011,5
S2,3.0,AINR,trig,140,0.4600000000000001,-0.15233047500077823,1.0723304750007783,5
S2,3.0,AINR,trig,150,0.43600000000000005,-0.20400522609177618,1.0760052260917763,5
S2,3.0,AINR,trig,160,0.44400000000000006,-0.18629584605112437,1.0742958460511245,5
S2,3.0,AINR,trig,170,0.44400000000000006,-0.18629584605112437,1.0742958460511245,5
S2,3.0,AINR,trig,180,0.44400000000000006,-0.18629584605112437,1.0742958460511245,5
S2,3.0,AINR,trig,190,0.44400000000000006,-0.18629584605112437,1.0742958460511245,5
S2,3.0,AINR,trig,200,0.44000000000000006,-0.19482917956833257,1.0748291795683327,5
S2,3.0,AINR,trig,210,0.43200000000000005,-0.2118958712046196,1.0758958712046196,5
S2,3.0,AINR,trig,220,0.43600000000000005,-0.2035232580844979,1.075523258084498,5
S2,3.0,AINR,trig,230,0.44400000000000006,-0.18678486454818877,1.0747848645481888,5
S2,3.0,AINR,trig,240,0.43600000000000005,-0.20400522609177618,1.0760052260917763,5
S2,3.0,AINR,trig,250,0.42800000000000005,-0.22090458219139186,1.0769045821913918,5
S2,3.0,AINR,trig,260,0.42800000000000005,-0.22090458219139186,1.0769045821913918,5
S2,3.0,AINR,trig,270,0.42400000000000004,-0.2291199841940028,1.077119984194003,5
S2,3.0,AINR,trig,280,0.40800000000000003,-0.2633258246858552,1.0793258246858553,5
S2,3.0,AINR,trig,290,0.40800000000000003,-0.2633258246858552,1.0793258246858553,5
